phase,day_in_cycle,energy_level,sleep_hours,mood,cramps,fitness_level,previous_exercise_type,exercise_type,feedback_rating
menstruation,1,3,7.2,tired,8,beginner,none,rest,5
menstruation,2,4,6.8,irritable,7,beginner,rest,light_yoga,4
menstruation,3,5,7.5,tired,6,intermediate,light_yoga,stretching,4
menstruation,4,6,8.1,calm,5,intermediate,stretching,walking,5
menstruation,5,7,7.9,happy,4,advanced,walking,walking,5
follicular,6,8,8.2,energetic,2,beginner,walking,cardio,5
follicular,7,9,8.5,happy,1,intermediate,cardio,strength,5
follicular,8,8,7.8,energetic,1,advanced,strength,cardio,4
follicular,9,7,7.6,calm,2,beginner,cardio,walking,4
follicular,10,8,8.0,happy,1,intermediate,walking,strength,5
follicular,11,9,8.3,energetic,0,advanced,strength,cardio,5
follicular,12,8,7.9,happy,1,beginner,cardio,walking,4
follicular,13,7,7.7,calm,2,intermediate,walking,strength,4
ovulation,14,9,8.4,energetic,0,beginner,strength,cardio,5
ovulation,15,10,8.6,happy,0,intermediate,cardio,strength,5
ovulation,16,9,8.2,energetic,1,advanced,strength,cardio,5
luteal,17,6,7.5,calm,3,beginner,cardio,walking,4
luteal,18,5,7.2,tired,4,intermediate,walking,light_yoga,4
luteal,19,4,6.9,irritable,5,advanced,light_yoga,meditation,5
luteal,20,5,7.1,tired,4,beginner,meditation,stretching,4
luteal,21,6,7.4,calm,3,intermediate,stretching,walking,4
luteal,22,5,7.0,tired,4,advanced,walking,light_yoga,4
luteal,23,4,6.8,irritable,5,beginner,light_yoga,meditation,5
luteal,24,5,7.2,calm,3,intermediate,meditation,stretching,4
luteal,25,6,7.6,happy,2,advanced,stretching,walking,4
luteal,26,5,7.3,calm,3,beginner,walking,light_yoga,4
luteal,27,4,6.9,tired,4,intermediate,light_yoga,meditation,5
luteal,28,3,6.7,irritable,6,advanced,meditation,rest,5
